Label,X,Y,Z
299494.0,-3480000.0,0.0,0.0
299495.0,0.0,0.0,0.0
299496.0,0.0,-3480000.0,0.0
299497.0,0.0,0.0,3480000.0
299498.0,3480000.0,0.0,0.0
299499.0,0.0,0.0,-3480000.0
299500.0,0.0,3480000.0,0.0
299501.0,-389636.375,-3458118.5,0.0
299502.0,-774372.875,-3392749.25,0.0
299503.0,-1149371.12,-3284714.0,0.0
299504.0,-1509915.38,-3135371.75,0.0
299505.0,-1851471.62,-2946600.25,0.0
299506.0,-2169744.5,-2720773.5,0.0
299507.0,-2460731.5,-2460731.5,0.0
299508.0,-2720773.5,-2169744.5,0.0
299509.0,-2946600.25,-1851471.62,0.0
299510.0,-3135371.75,-1509915.38,0.0
299511.0,-3284714.0,-1149371.12,0.0
299512.0,-3392749.25,-774372.875,0.0
299513.0,-3458118.5,-389636.375,0.0
299514.0,-3093333.25,0.0,0.0
299515.0,-2706666.75,0.0,0.0
299516.0,-2320000.0,0.0,0.0
299517.0,-1933333.38,0.0,0.0
299518.0,-1546666.62,0.0,0.0
299519.0,-1160000.0,0.0,0.0
299520.0,-773333.312,0.0,0.0
299521.0,-386666.656,0.0,0.0
299522.0,-3458118.5,0.0,389636.375
299523.0,-3392749.25,0.0,774372.875
299524.0,-3284714.0,0.0,1149371.12
299525.0,-3135371.75,0.0,1509915.38
299526.0,-2946600.25,0.0,1851471.62
299527.0,-2720773.5,0.0,2169744.5
299528.0,-2460731.5,0.0,2460731.5
299529.0,-2169744.5,0.0,2720773.5
299530.0,-1851471.62,0.0,2946600.25
299531.0,-1509915.38,0.0,3135371.75
299532.0,-1149371.12,0.0,3284714.0
299533.0,-774372.875,0.0,3392749.25
299534.0,-389636.375,0.0,3458118.5
299535.0,0.0,-386666.656,0.0
299536.0,0.0,-773333.312,0.0
299537.0,0.0,-1160000.0,0.0
299538.0,0.0,-1546666.62,0.0
299539.0,0.0,-1933333.38,0.0
299540.0,0.0,-2320000.0,0.0
299541.0,0.0,-2706666.75,0.0
299542.0,0.0,-3093333.25,0.0
299543.0,0.0,0.0,386666.656
299544.0,0.0,0.0,773333.312
299545.0,0.0,0.0,1160000.0
299546.0,0.0,0.0,1546666.62
299547.0,0.0,0.0,1933333.38
299548.0,0.0,0.0,2320000.0
299549.0,0.0,0.0,2706666.75
299550.0,0.0,0.0,3093333.25
299551.0,0.0,-3458118.5,389636.375
299552.0,0.0,-3392749.25,774372.875
299553.0,0.0,-3284714.0,1149371.12
299554.0,0.0,-3135371.75,1509915.38
299555.0,0.0,-2946600.25,1851471.62
299556.0,0.0,-2720773.5,2169744.5
299557.0,0.0,-2460731.5,2460731.5
299558.0,0.0,-2169744.5,2720773.5
299559.0,0.0,-1851471.62,2946600.25
299560.0,0.0,-1509915.38,3135371.75
299561.0,0.0,-1149371.12,3284714.0
299562.0,0.0,-774372.875,3392749.25
299563.0,0.0,-389636.375,3458118.5
299564.0,389636.375,3458118.5,0.0
299565.0,774372.875,3392749.25,0.0
299566.0,1149371.12,3284714.0,0.0
299567.0,1509915.38,3135371.75,0.0
299568.0,1851471.62,2946600.25,0.0
299569.0,2169744.5,2720773.5,0.0
299570.0,2460731.5,2460731.5,0.0
299571.0,2720773.5,2169744.5,0.0
299572.0,2946600.25,1851471.62,0.0
299573.0,3135371.75,1509915.38,0.0
299574.0,3284714.0,1149371.12,0.0
299575.0,3392749.25,774372.875,0.0
299576.0,3458118.5,389636.375,0.0
299577.0,3458118.5,0.0,-389636.375
299578.0,3392749.25,0.0,-774372.875
299579.0,3284714.0,0.0,-1149371.12
299580.0,3135371.75,0.0,-1509915.38
299581.0,2946600.25,0.0,-1851471.62
299582.0,2720773.5,0.0,-2169744.5
299583.0,2460731.5,0.0,-2460731.5
299584.0,2169744.5,0.0,-2720773.5
299585.0,1851471.62,0.0,-2946600.25
299586.0,1509915.38,0.0,-3135371.75
299587.0,1149371.12,0.0,-3284714.0
299588.0,774372.875,0.0,-3392749.25
299589.0,389636.375,0.0,-3458118.5
299590.0,386666.656,0.0,0.0
299591.0,773333.312,0.0,0.0
299592.0,1160000.0,0.0,0.0
299593.0,1546666.62,0.0,0.0
299594.0,1933333.38,0.0,0.0
299595.0,2320000.0,0.0,0.0
299596.0,2706666.75,0.0,0.0
299597.0,3093333.25,0.0,0.0
299598.0,0.0,389636.375,-3458118.5
299599.0,0.0,774372.875,-3392749.25
299600.0,0.0,1149371.12,-3284714.0
299601.0,0.0,1509915.38,-3135371.75
299602.0,0.0,1851471.62,-2946600.25
299603.0,0.0,2169744.5,-2720773.5
299604.0,0.0,2460731.5,-2460731.5
299605.0,0.0,2720773.5,-2169744.5
299606.0,0.0,2946600.25,-1851471.62
299607.0,0.0,3135371.75,-1509915.38
299608.0,0.0,3284714.0,-1149371.12
299609.0,0.0,3392749.25,-774372.875
299610.0,0.0,3458118.5,-389636.375
299611.0,0.0,0.0,-386666.656
299612.0,0.0,0.0,-773333.312
299613.0,0.0,0.0,-1160000.0
299614.0,0.0,0.0,-1546666.62
299615.0,0.0,0.0,-1933333.38
299616.0,0.0,0.0,-2320000.0
299617.0,0.0,0.0,-2706666.75
299618.0,0.0,0.0,-3093333.25
299619.0,0.0,386666.656,0.0
299620.0,0.0,773333.312,0.0
299621.0,0.0,1160000.0,0.0
299622.0,0.0,1546666.62,0.0
299623.0,0.0,1933333.38,0.0
299624.0,0.0,2320000.0,0.0
299625.0,0.0,2706666.75,0.0
299626.0,0.0,3093333.25,0.0
299627.0,0.0,3458118.5,389636.375
299628.0,0.0,3392749.25,774372.875
299629.0,0.0,3284714.0,1149371.12
299630.0,0.0,3135371.75,1509915.38
299631.0,0.0,2946600.25,1851471.62
299632.0,0.0,2720773.5,2169744.5
299633.0,0.0,2460731.5,2460731.5
299634.0,0.0,2169744.5,2720773.5
299635.0,0.0,1851471.62,2946600.25
299636.0,0.0,1509915.38,3135371.75
299637.0,0.0,1149371.12,3284714.0
299638.0,0.0,774372.875,3392749.25
299639.0,0.0,389636.375,3458118.5
299640.0,389636.375,0.0,3458118.5
299641.0,774372.875,0.0,3392749.25
299642.0,1149371.12,0.0,3284714.0
299643.0,1509915.38,0.0,3135371.75
299644.0,1851471.62,0.0,2946600.25
299645.0,2169744.5,0.0,2720773.5
299646.0,2460731.5,0.0,2460731.5
299647.0,2720773.5,0.0,2169744.5
299648.0,2946600.25,0.0,1851471.62
299649.0,3135371.75,0.0,1509915.38
299650.0,3284714.0,0.0,1149371.12
299651.0,3392749.25,0.0,774372.875
299652.0,3458118.5,0.0,389636.375
299653.0,-3458118.5,389636.375,0.0
299654.0,-3392749.25,774372.875,0.0
299655.0,-3284714.0,1149371.12,0.0
299656.0,-3135371.75,1509915.38,0.0
299657.0,-2946600.25,1851471.62,0.0
299658.0,-2720773.5,2169744.5,0.0
299659.0,-2460731.5,2460731.5,0.0
299660.0,-2169744.5,2720773.5,0.0
299661.0,-1851471.62,2946600.25,0.0
299662.0,-1509915.38,3135371.75,0.0
299663.0,-1149371.12,3284714.0,0.0
299664.0,-774372.875,3392749.25,0.0
299665.0,-389636.375,3458118.5,0.0
299666.0,-389636.375,0.0,-3458118.5
299667.0,-774372.875,0.0,-3392749.25
299668.0,-1149371.12,0.0,-3284714.0
299669.0,-1509915.38,0.0,-3135371.75
299670.0,-1851471.62,0.0,-2946600.25
299671.0,-2169744.5,0.0,-2720773.5
299672.0,-2460731.5,0.0,-2460731.5
299673.0,-2720773.5,0.0,-2169744.5
299674.0,-2946600.25,0.0,-1851471.62
299675.0,-3135371.75,0.0,-1509915.38
299676.0,-3284714.0,0.0,-1149371.12
299677.0,-3392749.25,0.0,-774372.875
299678.0,-3458118.5,0.0,-389636.375
299679.0,0.0,-389636.375,-3458118.5
299680.0,0.0,-774372.875,-3392749.25
299681.0,0.0,-1149371.12,-3284714.0
299682.0,0.0,-1509915.38,-3135371.75
299683.0,0.0,-1851471.62,-2946600.25
299684.0,0.0,-2169744.5,-2720773.5
299685.0,0.0,-2460731.5,-2460731.5
299686.0,0.0,-2720773.5,-2169744.5
299687.0,0.0,-2946600.25,-1851471.62
299688.0,0.0,-3135371.75,-1509915.38
299689.0,0.0,-3284714.0,-1149371.12
299690.0,0.0,-3392749.25,-774372.875
299691.0,0.0,-3458118.5,-389636.375
299692.0,3458118.5,-389636.375,0.0
299693.0,3392749.25,-774372.875,0.0
299694.0,3284714.0,-1149371.12,0.0
299695.0,3135371.75,-1509915.38,0.0
299696.0,2946600.25,-1851471.62,0.0
299697.0,2720773.5,-2169744.5,0.0
299698.0,2460731.5,-2460731.5,0.0
299699.0,2169744.5,-2720773.5,0.0
299700.0,1851471.62,-2946600.25,0.0
299701.0,1509915.38,-3135371.75,0.0
299702.0,1149371.12,-3284714.0,0.0
299703.0,774372.875,-3392749.25,0.0
299704.0,389636.375,-3458118.5,0.0
299705.0,-2298252.25,-2291345.0,0.0
299706.0,-2497169.5,-2043909.25,0.0
299707.0,-2672048.5,-1752043.0,0.0
299708.0,-2819636.5,-1429957.5,0.0
299709.0,-2934710.75,-1088173.0,0.0
299710.0,-3015221.0,-733595.75,0.0
299711.0,-3064679.5,-369848.156,0.0
299712.0,-2187912.0,-2184575.25,0.0
299713.0,-2277816.0,-1990618.5,0.0
299714.0,-2393936.0,-1715563.12,0.0
299715.0,-2503755.25,-1400511.5,0.0
299716.0,-2590414.5,-1064549.62,0.0
299717.0,-2649551.5,-716583.75,0.0
299718.0,-2684852.75,-360795.438,0.0
299719.0,-2310690.0,-359940.156,0.0
299720.0,-1930772.0,-367596.875,0.0
299721.0,-1547202.12,-376788.812,0.0
299722.0,-1161428.88,-383901.438,0.0
299723.0,-774435.5,-387495.438,0.0
299724.0,-387029.406,-387799.688,0.0
299725.0,-2286656.75,-718077.938,0.0
299726.0,-1915056.25,-733815.25,0.0
299727.0,-1537038.75,-752063.312,0.0
299728.0,-1154851.5,-766237.375,0.0
299729.0,-770267.75,-773612.438,0.0
299730.0,-384821.344,-774769.125,0.0
299731.0,-2241605.25,-1071192.25,0.0
299732.0,-1881417.75,-1096419.25,0.0
299733.0,-1512400.75,-1124487.38,0.0
299734.0,-1137427.0,-1146298.0,0.0
299735.0,-758937.188,-1158058.5,0.0
299736.0,-379098.344,-1160825.75,0.0
299737.0,-2173136.5,-1415167.12,0.0
299738.0,-1828261.5,-1451958.25,0.0
299739.0,-1472191.5,-1491385.5,0.0
299740.0,-1108431.75,-1522133.0,0.0
299741.0,-740046.875,-1539526.0,0.0
299742.0,-369778.781,-1545215.5,0.0
299743.0,-2088975.38,-1741145.88,0.0
299744.0,-1764828.5,-1792602.25,0.0
299745.0,-1425216.0,-1846426.62,0.0
299746.0,-1075271.12,-1888970.12,0.0
299747.0,-719173.312,-1914789.25,0.0
299748.0,-360269.125,-1926501.25,0.0
299749.0,-2015590.38,-2033048.88,0.0
299750.0,-1717195.0,-2106492.75,0.0
299751.0,-1393588.62,-2181281.0,0.0
299752.0,-1054847.0,-2241554.75,0.0
299753.0,-707575.125,-2281487.25,0.0
299754.0,-355328.5,-2304331.75,0.0
299755.0,-1989220.0,-2277613.0,0.0
299756.0,-1709724.38,-2393316.75,0.0
299757.0,-1392050.0,-2502640.5,0.0
299758.0,-1055439.75,-2589552.5,0.0
299759.0,-708530.0,-2649243.0,0.0
299760.0,-355526.25,-2685251.0,0.0
299761.0,-366382.844,-3066420.0,0.0
299762.0,-730186.375,-3015006.0,0.0
299763.0,-1086635.0,-2931728.5,0.0
299764.0,-1430807.25,-2814241.25,0.0
299765.0,-1757210.75,-2663992.25,0.0
299766.0,-2052711.25,-2489017.5,0.0
299767.0,-3064918.75,0.0,367557.344
299768.0,-2686086.0,0.0,356113.688
299769.0,-3013717.5,0.0,731521.312
299770.0,-2650723.5,0.0,709444.688
299771.0,-2931551.0,0.0,1087448.25
299772.0,-2591432.5,0.0,1056445.12
