Label,S_Mises,S_S11,S_S22,S_S33,S_S12,S_S13,S_S23
1.0,1.87162e-28,-7.9785599999999996e-26,-7.9959899999999998e-26,-7.9778500000000002e-26,2.5337499999999998e-29,8.4162600000000001e-30,-2.03842e-29
2.0,1.4379100000000001e-28,-7.9809200000000001e-26,-7.9943999999999998e-26,-7.9803099999999998e-26,1.74235e-29,7.4637600000000006e-30,-1.4007799999999999e-29
3.0,1.09555e-28,-7.9829799999999998e-26,-7.9933799999999998e-26,-7.98252e-26,9.9435300000000005e-30,6.2274200000000002e-30,-9.4112499999999993e-30
4.0,8.3854399999999998e-29,-7.9847800000000002e-26,-7.9929100000000001e-26,-7.9845400000000005e-26,2.6298599999999999e-30,5.4079100000000004e-30,-6.0871200000000003e-30
5.0,6.4368699999999995e-29,-7.9863399999999997e-26,-7.99263e-26,-7.9862299999999996e-26,-2.6045399999999998e-30,4.6402399999999998e-30,-3.6012699999999999e-30
6.0,5.0777700000000003e-29,-7.9878699999999998e-26,-7.9927300000000003e-26,-7.9878900000000005e-26,-7.4840099999999994e-30,4.0086499999999999e-30,-1.7056099999999998e-30
7.0,4.0972799999999999e-29,-7.98911e-26,-7.9927499999999999e-26,-7.9891799999999997e-26,-1.06619e-29,3.38967e-30,-3.5163499999999999e-31
8.0,1.7748900000000001e-28,-7.9787899999999996e-26,-7.9958799999999998e-26,-7.9785700000000006e-26,1.58104e-29,6.5225499999999996e-30,-1.8528e-29
9.0,1.4329599999999999e-28,-7.9807799999999995e-26,-7.99462e-26,-7.9805700000000003e-26,1.1995699999999999e-29,5.6649299999999998e-30,-1.3677599999999999e-29
10.0,1.1163e-28,-7.9828e-26,-7.9936599999999998e-26,-7.9826100000000004e-26,6.0704899999999997e-30,5.0221199999999998e-30,-9.5094800000000004e-30
11.0,8.6452500000000002e-29,-7.9845299999999995e-26,-7.9930200000000002e-26,-7.9844300000000004e-26,1.2144699999999999e-30,4.2219900000000003e-30,-6.4083100000000002e-30
12.0,6.7053399999999998e-29,-7.98621e-26,-7.9928099999999998e-26,-7.9861799999999995e-26,-3.5019899999999997e-30,3.6810500000000003e-30,-4.0045500000000003e-30
13.0,5.1997199999999999e-29,-7.9875899999999997e-26,-7.9926100000000004e-26,-7.9875999999999995e-26,-6.9003800000000004e-30,3.0935000000000001e-30,-2.26977e-30
14.0,4.1786299999999998e-29,-7.9890099999999997e-26,-7.9928300000000005e-26,-7.9890800000000006e-26,-9.88091e-30,2.5256699999999999e-30,-6.0382099999999998e-31
15.0,1.7628100000000001e-28,-7.9788899999999998e-26,-7.9952599999999997e-26,-7.97871e-26,2.0491499999999999e-29,1.06842e-29,-2.8224900000000001e-29
16.0,1.3642600000000001e-28,-7.9811599999999999e-26,-7.9938999999999996e-26,-7.98087e-26,1.4291100000000001e-29,9.3431799999999998e-30,-1.94531e-29
17.0,1.0486500000000001e-28,-7.9831400000000001e-26,-7.9930999999999997e-26,-7.9829100000000001e-26,7.3232699999999994e-30,7.9222200000000004e-30,-1.2817999999999999e-29
18.0,8.0386399999999996e-29,-7.9848900000000003e-26,-7.9926399999999998e-26,-7.9847300000000001e-26,1.29507e-30,6.6811500000000001e-30,-7.9715699999999996e-30
19.0,6.2235300000000005e-29,-7.9864999999999999e-26,-7.9925299999999997e-26,-7.98644e-26,-4.0229900000000003e-30,5.7081799999999999e-30,-4.3517100000000002e-30
20.0,4.8856899999999998e-29,-7.9879000000000003e-26,-7.9925000000000003e-26,-7.9878900000000005e-26,-8.0699999999999998e-30,4.7649099999999998e-30,-1.57649e-30
21.0,4.0375900000000002e-29,-7.9892600000000004e-26,-7.9927200000000005e-26,-7.9892999999999996e-26,-1.1559800000000001e-29,3.9153899999999998e-30,7.4617500000000001e-31
22.0,1.65611e-28,-7.9792700000000002e-26,-7.9951700000000003e-26,-7.9794300000000004e-26,1.16909e-29,7.3084499999999997e-30,-2.47861e-29
23.0,1.3480699999999999e-28,-7.9811500000000001e-26,-7.9941500000000003e-26,-7.98121e-26,8.32685e-30,6.6468500000000004e-30,-1.8348900000000001e-29
24.0,1.0605e-28,-7.9830100000000004e-26,-7.9933199999999998e-26,-7.9830200000000002e-26,3.92776e-30,5.7893899999999999e-30,-1.2693400000000001e-29
25.0,8.24962e-29,-7.9847700000000004e-26,-7.9928500000000001e-26,-7.9847700000000004e-26,-5.7640299999999999e-31,4.99272e-30,-8.2710799999999995e-30
26.0,6.3992800000000002e-29,-7.9863000000000005e-26,-7.9925600000000003e-26,-7.9863100000000003e-26,-4.4044699999999999e-30,4.19958e-30,-4.8759000000000002e-30
27.0,5.0383100000000001e-29,-7.9877699999999995e-26,-7.9925799999999999e-26,-7.9878e-26,-7.8620300000000002e-30,3.5236299999999997e-30,-2.2318699999999999e-30
28.0,4.01848e-29,-7.9890199999999995e-26,-7.9925999999999995e-26,-7.9890599999999998e-26,-1.03737e-29,2.8247700000000001e-30,-4.1334500000000001e-31
29.0,1.6096299999999999e-28,-7.9794900000000003e-26,-7.9943599999999995e-26,-7.9798200000000006e-26,1.4652700000000001e-29,1.15274e-29,-3.2874299999999999e-29
30.0,1.2615500000000001e-28,-7.9815699999999996e-26,-7.9933299999999996e-26,-7.9816500000000003e-26,9.9356800000000004e-30,1.03193e-29,-2.2813000000000001e-29
31.0,9.7836699999999999e-29,-7.9834399999999997e-26,-7.9927099999999995e-26,-7.9834200000000001e-26,4.2896100000000003e-30,8.8229299999999996e-30,-1.5019399999999999e-29
32.0,7.5718500000000001e-29,-7.98513e-26,-7.9924000000000001e-26,-7.9850899999999997e-26,-9.84784e-31,7.4897000000000002e-30,-9.1288899999999999e-30
33.0,5.8919299999999996e-29,-7.9866600000000001e-26,-7.9922999999999998e-26,-7.9866199999999998e-26,-5.3978600000000003e-30,6.2756699999999998e-30,-4.66552e-30
34.0,4.6988699999999999e-29,-7.9880899999999999e-26,-7.9923800000000005e-26,-7.9880600000000005e-26,-9.3105699999999994e-30,5.2475600000000001e-30,-1.20318e-30
35.0,3.9197299999999999e-29,-7.9893399999999999e-26,-7.9925399999999995e-26,-7.9893200000000003e-26,-1.22461e-29,4.1311899999999997e-30,1.3301300000000001e-30
36.0,1.50886e-28,-7.9799000000000001e-26,-7.9943100000000005e-26,-7.9804299999999997e-26,7.0035e-30,7.51424e-30,-2.8359400000000001e-29
37.0,1.2408400000000001e-28,-7.9816299999999996e-26,-7.9935700000000005e-26,-7.9819699999999996e-26,4.6458600000000002e-30,6.9516300000000001e-30,-2.11064e-29
38.0,9.8405299999999999e-29,-7.9833899999999996e-26,-7.9929299999999997e-26,-7.9835800000000003e-26,1.15447e-30,6.15616e-30,-1.4573299999999999e-29
39.0,7.7107700000000001e-29,-7.9850299999999997e-26,-7.9925500000000005e-26,-7.98513e-26,-2.4103099999999999e-30,5.2859600000000002e-30,-9.3260700000000005e-30
40.0,6.0335000000000005e-29,-7.98655e-26,-7.9923900000000003e-26,-7.9865900000000004e-26,-5.8644900000000002e-30,4.5140499999999999e-30,-5.2664900000000002e-30
41.0,4.7753100000000002e-29,-7.9878799999999996e-26,-7.9923699999999995e-26,-7.9879199999999999e-26,-8.7178600000000004e-30,3.6507699999999999e-30,-2.04316e-30
42.0,3.9066500000000002e-29,-7.9891799999999997e-26,-7.9925299999999997e-26,-7.9891799999999997e-26,-1.12211e-29,2.92649e-30,6.85869e-31
43.0,1.43473e-28,-7.9801999999999998e-26,-7.9934200000000001e-26,-7.9810099999999995e-26,8.65084e-30,1.09092e-29,-3.4231700000000001e-29
44.0,1.1411899999999999e-28,-7.9821000000000004e-26,-7.9927400000000001e-26,-7.98252e-26,5.2963199999999997e-30,1.0113500000000001e-29,-2.40234e-29
45.0,8.9520399999999998e-29,-7.9838299999999999e-26,-7.9923099999999996e-26,-7.9840199999999995e-26,9.3743899999999995e-31,8.7843299999999996e-30,-1.58375e-29
46.0,7.0004400000000004e-29,-7.9854299999999997e-26,-7.9921100000000002e-26,-7.9854899999999996e-26,-3.3505899999999999e-30,7.5337700000000004e-30,-9.4906100000000001e-30
47.0,5.5159399999999998e-29,-7.9868999999999998e-26,-7.9921000000000004e-26,-7.98689e-26,-7.1816900000000007e-30,6.31841e-30,-4.5389400000000003e-30
48.0,4.4679199999999998e-29,-7.9882500000000001e-26,-7.9922100000000004e-26,-7.9881900000000002e-26,-1.04247e-29,5.1223099999999997e-30,-6.60991e-31
49.0,3.83404e-29,-7.9894800000000005e-26,-7.9924099999999999e-26,-7.9893999999999998e-26,-1.3161299999999999e-29,3.94925e-30,2.5095499999999999e-30
50.0,1.3479400000000001e-28,-7.9806599999999997e-26,-7.99348e-26,-7.9814999999999999e-26,2.58377e-30,6.9391999999999994e-30,-2.9361899999999998e-29
51.0,1.12069e-28,-7.9821999999999995e-26,-7.9929500000000004e-26,-7.9827800000000004e-26,9.8017600000000005e-31,6.5404199999999999e-30,-2.20289e-29
52.0,8.98471e-29,-7.9838200000000001e-26,-7.9925199999999999e-26,-7.9841899999999995e-26,-1.59634e-30,5.9010900000000001e-30,-1.52101e-29
53.0,7.1017400000000003e-29,-7.9853699999999998e-26,-7.9922700000000004e-26,-7.9855600000000005e-26,-4.4455999999999998e-30,5.1343799999999998e-30,-9.6379600000000006e-30
54.0,5.6083700000000004e-29,-7.98678e-26,-7.9921700000000001e-26,-7.9868800000000002e-26,-7.2504299999999995e-30,4.3234399999999999e-30,-5.12175e-30
55.0,4.5047100000000002e-29,-7.9880999999999997e-26,-7.99223e-26,-7.9881200000000004e-26,-9.8189900000000007e-30,3.5304100000000001e-30,-1.54987e-30
56.0,3.7472200000000002e-29,-7.9892700000000002e-26,-7.9923699999999995e-26,-7.9892899999999998e-26,-1.1920499999999999e-29,2.6767100000000001e-30,1.14877e-30
57.0,1.2560100000000001e-28,-7.9809999999999997e-26,-7.9925999999999995e-26,-7.9821500000000005e-26,3.2713600000000001e-30,9.3539199999999998e-30,-3.2839399999999998e-29
58.0,1.0158099999999999e-28,-7.98269e-26,-7.9921899999999997e-26,-7.98337e-26,1.0811700000000001e-30,8.8966600000000007e-30,-2.344e-29
59.0,8.0918000000000002e-29,-7.9842700000000002e-26,-7.9919300000000004e-26,-7.9846299999999998e-26,-2.2406200000000001e-30,7.98104e-30,-1.55483e-29
60.0,6.3929500000000001e-29,-7.9857599999999999e-26,-7.9918300000000001e-26,-7.9859100000000003e-26,-5.6492400000000001e-30,6.8699799999999998e-30,-9.1513800000000006e-30
61.0,5.1179799999999996e-29,-7.9871500000000005e-26,-7.99189e-26,-7.9871700000000001e-26,-8.8135299999999996e-30,5.7182499999999999e-30,-4.0086899999999998e-30
62.0,4.2385299999999999e-29,-7.9884399999999997e-26,-7.9920400000000004e-26,-7.9883600000000002e-26,-1.16156e-29,4.5360299999999999e-30,8.9704299999999998e-32
63.0,3.7181600000000001e-29,-7.9896000000000004e-26,-7.9922700000000004e-26,-7.9894900000000003e-26,-1.38549e-29,3.3536199999999999e-30,3.0700800000000001e-30
64.0,1.1911499999999999e-28,-7.9814200000000004e-26,-7.9927200000000005e-26,-7.9824799999999996e-26,-1.20404e-30,5.7404099999999999e-30,-2.8339500000000001e-29
65.0,1.00229e-28,-7.9827900000000002e-26,-7.9924000000000001e-26,-7.9835499999999998e-26,-2.2812400000000001e-30,5.6349900000000001e-30,-2.1469400000000001e-29
66.0,8.1234699999999995e-29,-7.9842700000000002e-26,-7.99212e-26,-7.9847599999999995e-26,-4.09034e-30,5.15263e-30,-1.4862199999999999e-29
67.0,6.4868599999999996e-29,-7.9857e-26,-7.9919800000000005e-26,-7.9859800000000001e-26,-6.3306400000000001e-30,4.5179099999999999e-30,-9.2379400000000007e-30
68.0,5.1766400000000004e-29,-7.9870400000000005e-26,-7.99195e-26,-7.9871700000000001e-26,-8.61913e-30,3.8090199999999998e-30,-4.6345599999999997e-30
69.0,4.2279799999999998e-29,-7.9882699999999997e-26,-7.9920500000000002e-26,-7.98831e-26,-1.07502e-29,2.9566600000000001e-30,-8.3906999999999999e-31
70.0,3.6205799999999998e-29,-7.9894400000000002e-26,-7.99223e-26,-7.9893800000000002e-26,-1.2643300000000001e-29,2.2202500000000001e-30,2.40726e-30
71.0,1.0973200000000001e-28,-7.9817700000000002e-26,-7.99195e-26,-7.9831099999999995e-26,-8.8344799999999993e-31,7.2570600000000006e-30,-2.9985399999999999e-29
72.0,9.0547899999999999e-29,-7.9832099999999998e-26,-7.99172e-26,-7.9840699999999996e-26,-2.3737700000000001e-30,7.3349600000000004e-30,-2.1846399999999999e-29
73.0,7.3000299999999998e-29,-7.9846500000000005e-26,-7.9915800000000006e-26,-7.9851399999999998e-26,-4.8550900000000002e-30,6.6007600000000002e-30,-1.4585400000000001e-29
74.0,5.8482899999999996e-29,-7.98604e-26,-7.9915800000000006e-26,-7.9862899999999995e-26,-7.5823900000000006e-30,5.7120100000000001e-30,-8.3683399999999998e-30
75.0,4.7465800000000001e-29,-7.9873599999999997e-26,-7.9916799999999997e-26,-7.9874099999999999e-26,-1.01422e-29,4.6456900000000002e-30,-3.2727799999999997e-30
76.0,4.0162700000000001e-29,-7.9885900000000001e-26,-7.99189e-26,-7.9885300000000002e-26,-1.24683e-29,3.5480699999999999e-30,8.3312499999999995e-31
77.0,3.62515e-29,-7.9897200000000003e-26,-7.99212e-26,-7.9895400000000004e-26,-1.43856e-29,2.3152000000000001e-30,4.3238199999999997e-30
78.0,1.05491e-28,-7.98212e-26,-7.99212e-26,-7.9833100000000001e-26,-4.1095599999999997e-30,4.6155100000000001e-30,-2.6282199999999998e-29
79.0,9.0030299999999997e-29,-7.9833199999999999e-26,-7.9919400000000002e-26,-7.9841899999999995e-26,-4.70765e-30,4.4348599999999998e-30,-2.0241299999999999e-29
80.0,7.3744900000000002e-29,-7.9846700000000001e-26,-7.99178e-26,-7.9852499999999999e-26,-6.1064300000000003e-30,4.1878499999999999e-30,-1.4028500000000001e-29
