Label,S_Mises,S_S11,S_S22,S_S33,S_S12,S_S13,S_S23
1.0,4456.2700000000004,3440.9200000000001,1065.2,3837.1799999999998,-1984.4000000000001,-98.573599999999999,-651.44100000000003
2.0,4515.8599999999997,3505.0900000000001,1092.5999999999999,3884.7199999999998,-2036.96,-81.829499999999996,-590.26800000000003
3.0,4577.1499999999996,3569.9000000000001,1112.04,3922.6700000000001,-2087.5500000000002,-65.927499999999995,-526.30799999999999
4.0,4638.6700000000001,3650.0700000000002,1138.54,3965.2800000000002,-2135.5799999999999,-53.448999999999998,-457.45299999999997
5.0,4699.5200000000004,3729.6799999999998,1157.54,3998.1700000000001,-2180.0599999999999,-45.079999999999998,-384.22399999999999
6.0,4758.6099999999997,3819.5799999999999,1181.05,4033.0300000000002,-2220.1399999999999,-42.725999999999999,-306.19099999999997
7.0,4815.0,3906.4000000000001,1197.1900000000001,4058.77,-2254.7600000000002,-47.4358,-223.489
8.0,4867.6999999999998,3998.3800000000001,1216.02,4086.48,-2282.8000000000002,-60.761499999999998,-136.09100000000001
9.0,4915.79,4083.2800000000002,1227.4400000000001,4107.6599999999999,-2303.0500000000002,-83.477800000000002,-44.335099999999997
10.0,4958.3999999999996,4166.8800000000001,1239.8900000000001,4132.75,-2314.3499999999999,-116.372,51.378799999999998
11.0,4994.8000000000002,4237.3400000000001,1244.3099999999999,4155.04,-2315.5599999999999,-159.33199999999999,150.292
12.0,5024.25,4299.21,1248.3,4184.9300000000003,-2305.5100000000002,-211.93199999999999,251.536
13.0,5046.1099999999997,4340.8000000000002,1243.23,4216.3999999999996,-2283.2399999999998,-272.58499999999998,353.88400000000001
14.0,5060.0799999999999,4365.7600000000002,1235.72,4259.0,-2248.1300000000001,-339.13499999999999,455.62599999999998
15.0,5066.1700000000001,4367.0699999999997,1221.25,4310.8299999999999,-2199.8000000000002,-408.50599999999997,555.47900000000004
16.0,5064.8299999999999,4345.0200000000004,1201.1900000000001,4375.1199999999999,-2138.4699999999998,-476.33100000000002,651.51400000000001
17.0,5055.2299999999996,4299.5299999999997,1176.24,4452.3100000000004,-2064.0999999999999,-538.32299999999998,741.39300000000003
18.0,5039.0799999999999,4230.0600000000004,1144.4300000000001,4541.9200000000001,-1977.8499999999999,-589.13800000000003,823.56799999999998
19.0,5016.1099999999997,4140.0,1109.21,4642.8500000000004,-1881.4000000000001,-624.86300000000006,895.98599999999999
20.0,4990.6300000000001,4031.21,1063.6500000000001,4749.6000000000004,-1776.98,-639.07100000000003,958.09699999999998
21.0,4958.9899999999998,3916.0599999999999,1024.8800000000001,4867.04,-1667.8299999999999,-631.35500000000002,1006.3200000000001
